depth ,thickness
4741.33,3.61
4752.58,11.25
4755.25,2.67
4760.78,5.53
4763.03,2.26
4768.41,5.38
4773.34,4.93
4780.15,6.81
4786.99,6.85
4794.18,7.18
4798.16,3.99
4802.75,4.59
4807.34,4.59
4812.19,4.85
4820.39,8.20
4829.34,8.95
4833.78,4.44
4838.44,4.66
4845.59,7.15
4853.79,8.20
4861.01,7.22
4867.59,6.58
4872.67,5.08
4879.85,7.18
4884.37,4.51
4888.84,4.48
4893.88,5.04
4899.64,5.75
4902.42,2.78
4905.50,3.08
4913.82,8.31
4923.14,9.33
4928.15,5.00
4934.05,5.90
4936.72,2.67
4940.33,3.61
4944.77,4.44
4946.69,1.92
4952.97,6.28
4955.30,2.33
4958.87,3.57
4962.56,3.69
4970.08,7.52
4974.60,4.51
4983.62,9.03
4986.41,2.78
4993.18,6.77
4997.61,4.44
5002.16,4.55
5004.95,2.78
5007.66,2.71
5012.17,4.51
5018.90,6.73
5044.33,25.43
5050.45,6.12
5054.44,3.99
5059.56,5.12
5064.49,4.93
5068.55,4.06
5074.87,6.32
5079.68,4.81
5083.89,4.21
5088.90,5.00
5092.51,3.61
5100.59,8.09
5106.50,5.90
5111.84,5.34
5115.49,3.65
5118.23,2.75
5122.22,3.99
5125.49,3.27
5129.06,3.57
5133.09,4.02
5141.17,8.09
5148.09,6.92
5151.44,3.35
5156.11,4.66
5159.19,3.08
5163.70,4.51
5167.88,4.17
5171.98,4.10
5175.06,3.08
5179.50,4.44
5185.86,6.36
5201.28,15.42
5206.24,4.96
5210.27,4.02
5216.10,5.83
5224.67,8.58
5228.36,3.69
5231.48,3.12
5233.25,1.77
5236.89,3.65
5240.13,3.23
5243.21,3.08
5253.14,9.93
5266.19,13.05
5268.90,2.71
5274.32,5.42
5276.65,2.33
5281.65,5.00
5285.79,4.14
5290.94,5.15
5305.99,15.04
5311.36,5.38
5315.43,4.06
5318.66,3.23
5322.23,3.57
5327.57,5.34
5333.97,6.39
5338.89,4.93
5342.96,4.06
5348.79,5.83
5358.19,9.40
5365.45,7.26
5368.98,3.54
5372.22,3.23
5376.84,4.63
5381.73,4.89
5390.42,8.69
5393.47,3.05
5399.79,6.32
5407.16,7.37
5410.66,3.50
5416.66,6.00
5430.60,13.94
5437.38,6.78
5440.77,3.39
5446.08,5.31
5450.48,4.41
5456.70,6.21
5460.31,3.61
5465.96,5.65
5470.25,4.29
5474.88,4.63
5482.34,7.46
5490.36,8.02
5500.19,9.83
5568.76,68.57
5572.04,3.28
5578.25,6.21
5584.01,5.76
5588.98,4.97
5593.27,4.29
5597.23,3.95
5605.81,8.59
5612.48,6.67
5622.53,10.05
5627.50,4.97
5632.02,4.52
5634.85,2.82
5636.99,2.15
5641.17,4.18
5646.14,4.97
5648.63,2.49
5653.71,5.08
5660.72,7.00
5664.22,3.50
5669.64,5.42
5672.69,3.05
5676.19,3.50
5678.45,2.26
5682.97,4.52
5688.96,5.99
5697.09,8.13
5703.76,6.67
5708.84,5.08
5716.41,7.57
5725.11,8.70
5733.69,8.59
5737.65,3.95
5749.28,11.64
5754.03,4.74
5757.19,3.16
5760.92,3.73
5764.64,3.73
5768.94,4.29
5771.65,2.71
5774.70,3.05
5778.20,3.50
5781.59,3.39
5793.00,11.41
5806.10,13.10
5837.36,31.26
5842.18,4.82
5845.43,3.24
5848.57,3.14
5855.02,6.45
5876.19,21.17
5879.19,3.00
5882.13,2.94
5884.39,2.26
5886.99,2.60
5890.15,3.16
5893.43,3.28
5896.02,2.60
5901.22,5.20
5912.52,11.30
5923.25,10.73
5945.17,21.92
5952.51,7.34
5958.50,5.99
5964.71,6.21
5978.15,13.44
5982.44,4.29
5987.64,5.20
5993.29,5.65
6000.18,6.89
6007.75,7.57
6017.58,9.83
6023.58,6.00
6045.24,21.66
6050.45,5.21
6055.65,5.20
6061.41,5.76
6064.80,3.39
6069.09,4.29
6074.51,5.42
6077.34,2.82
6081.18,3.84
6083.10,1.92
6085.02,1.92
6090.21,5.20
6095.64,5.42
6102.42,6.78
6108.85,6.44
6116.42,7.57
6122.18,5.76
6130.21,8.02
6135.97,5.76
6145.57,9.60
6153.93,8.36
6174.26,20.33
6212.86,4.29
6218.81,5.95
6222.27,3.46
6226.41,4.14
6230.93,4.52
6238.84,7.91
6242.98,4.14
6247.87,4.89
6252.77,4.89
6258.34,5.57
6262.18,3.84
6267.30,5.12
6269.78,2.48
6274.08,4.29
6278.75,4.67
6284.24,5.50
6288.69,4.44
6293.66,4.97
6300.21,6.55
6306.83,6.63
6312.71,5.87
6318.05,5.35
6324.38,6.33
6330.78,6.40
6334.92,4.14
6340.42,5.50
6345.99,5.57
6351.79,5.80
6355.40,3.61
6363.01,7.61
6368.58,5.57
6372.80,4.22
6375.43,2.64
6379.12,3.69
6384.24,5.12
6388.61,4.37
6393.81,5.20
6482.74,88.93
6487.71,4.97
