depth,thickness
4004.35,4.49
4011.99,7.64
4016.48,4.49
4020.97,4.49
4026.36,5.39
4028.61,2.25
4034.90,6.29
4038.94,4.04
4043.88,4.94
4047.48,3.59
4052.42,4.94
4057.81,5.39
4068.14,10.33
4073.54,5.39
4078.03,4.49
4083.42,5.39
4091.51,8.09
4096.45,4.94
4100.49,4.04
4106.78,6.29
4111.72,4.94
4119.36,7.64
4126.55,7.19
4129.70,3.14
4135.09,5.39
4138.68,3.59
4144.52,5.84
4149.01,4.49
4154.41,5.39
4160.70,6.29
4165.19,4.49
4169.23,4.04
4171.93,2.70
4177.32,5.39
4181.81,4.49
4188.55,6.74
4197.99,9.43
4203.38,5.39
4209.22,5.84
4216.41,7.19
4219.55,3.14
4223.59,4.04
4227.19,3.59
4232.13,4.94
4238.01,5.88
4242.01,4.00
4246.51,4.49
4254.14,7.64
4258.19,4.04
4264.03,5.84
4272.12,8.09
4275.71,3.59
4278.41,2.70
4281.55,3.14
4286.94,5.39
4291.88,4.94
4295.03,3.14
4299.97,4.94
4304.46,4.49
4308.96,4.49
4316.14,7.19
4321.54,5.39
4328.28,6.74
4347.14,18.87
4352.54,5.39
4357.93,5.39
4362.87,4.94
4366.46,3.59
4370.06,3.59
4373.20,3.14
4378.59,5.39
4383.54,4.94
4388.93,5.39
4391.62,2.70
4398.36,6.74
4402.86,4.49
4407.80,4.94
4410.94,3.14
4414.99,4.04
4421.72,6.74
4424.87,3.14
4429.81,4.94
4434.75,4.94
4438.80,4.04
4443.74,4.94
4452.28,8.54
4458.12,5.84
4462.61,4.49
4468.00,5.39
4472.49,4.49
4475.64,3.14
4482.83,7.19
4485.52,2.70
4491.36,5.84
4494.51,3.14
4499.90,5.39
4503.49,3.59
4507.09,3.59
4511.13,4.04
4514.28,3.14
4516.52,2.25
4519.22,2.70
4522.81,3.59
4525.51,2.70
4536.74,11.23
4546.62,9.88
4561.00,14.38
4562.97,1.97
4573.23,10.26
4580.10,6.88
4586.75,6.65
4592.22,5.47
4595.32,3.10
4599.47,4.15
4605.29,5.82
4609.39,4.09
4616.98,7.59
4619.72,2.74
4623.33,3.61
4627.42,4.09
4636.32,8.90
4638.62,2.29
4642.34,3.72
4645.94,3.61
4649.44,3.49
4653.98,4.55
4662.10,8.11
4667.47,5.37
4670.62,3.16
4674.68,4.06
4678.70,4.02
4681.48,2.78
4684.15,2.67
4687.87,3.72
4692.26,4.40
4697.71,5.45
4701.24,3.53
4704.89,3.64
4708.98,4.09
4713.08,4.09
4715.71,2.63
4719.39,3.68
4721.64,2.25
4724.72,3.08
4727.80,3.08
5988.50,19.00
5994.45,5.96
6001.78,7.33
6006.82,5.04
6010.49,3.67
6014.15,3.67
6016.90,2.75
6020.11,3.21
6023.32,3.21
6027.44,4.12
6034.32,6.87
6038.44,4.12
6043.02,4.58
6047.60,4.58
6052.18,4.58
6055.39,3.21
6057.68,2.29
6062.72,5.04
6065.47,2.75
6070.05,4.58
6074.64,4.58
6077.39,2.75
6081.05,3.67
6084.26,3.21
6095.71,11.45
6098.92,3.21
6103.50,4.58
6111.29,7.79
6115.87,4.58
6123.66,7.79
6129.16,5.50
6132.83,3.67
6136.03,3.21
6141.53,5.50
6145.66,4.12
6150.70,5.04
6156.19,5.50
6159.86,3.67
6171.77,11.91
6175.90,4.12
6181.40,5.50
6186.89,5.50
6190.10,3.21
6195.14,5.04
6198.35,3.21
6202.47,4.12
6207.05,4.58
6210.26,3.21
6213.47,3.21
6217.59,4.12
6221.72,4.12
6225.38,3.67
6229.51,4.12
6236.84,7.33
6240.50,3.67
6246.00,5.50
6253.33,7.33
6258.37,5.04
6264.79,6.41
6267.54,2.75
6276.24,8.71
6280.60,4.36
6321.60,41.00
6323.89,2.29
6333.06,9.16
6336.72,3.67
6340.85,4.12
6344.05,3.21
6348.18,4.12
6356.43,8.25
6359.17,2.75
6363.30,4.12
6368.34,5.04
6374.30,5.96
6382.08,7.79
6384.38,2.29
6387.12,2.75
6392.62,5.50
6396.75,4.12
6400.41,3.67
6402.25,1.83
6406.37,4.12
6410.03,3.67
6419.66,9.62
6429.28,9.62
6436.61,7.33
6473.72,37.11
6487.55,13.83
6489.76,2.21
6492.51,2.75
6496.17,3.67
6498.92,2.75
6501.67,2.75
6503.96,2.29
6505.80,1.83
6508.09,2.29
6510.38,2.29
6512.67,2.29
6515.42,2.75
6517.25,1.83
6519.08,1.83
6520.92,1.83
6522.75,1.83
6525.50,2.75
6527.79,2.29
6530.54,2.75
6532.37,1.83
6534.66,2.29
6536.50,1.83
6538.33,1.83
6540.62,2.29
6543.83,3.21
6545.66,1.83
6548.41,2.75
6552.07,3.67
6553.91,1.83
6556.66,2.75
6558.95,2.29
6563.07,4.12
6566.28,3.21
6572.69,6.41
6576.36,3.67
6580.48,4.12
6585.52,5.04
6589.19,3.67
6593.77,4.58
6596.52,2.75
6602.93,6.41
6606.60,3.67
6608.89,2.29
6611.64,2.75
6614.39,2.75
6619.43,5.04
6622.18,2.75
6625.39,3.21
6628.59,3.21
6632.26,3.67
6636.84,4.58
6641.88,5.04
6646.46,4.58
6651.04,4.58
6656.54,5.50
6659.75,3.21
6663.42,3.67
6669.83,6.41
6676.70,6.87
6681.29,4.58
6688.62,7.33
6695.95,7.33
6708.32,12.37
6712.44,4.12
6719.77,7.33
6730.77,11.00
6733.98,3.21
6739.48,5.50
6744.52,5.04
6748.64,4.12
6755.05,6.41
6758.26,3.21
6762.84,4.58
6766.05,3.21
6768.80,2.75
6772.01,3.21
6777.05,5.04
6779.80,2.75
6783.92,4.12
6788.50,4.58
6790.79,2.29
6795.83,5.04
6798.58,2.75
6801.33,2.75
6804.08,2.75
6807.75,3.67
6811.41,3.67
6814.62,3.21
6817.37,2.75
6819.66,2.29
6821.95,2.29
6825.16,3.21
6828.37,3.21
6832.95,4.58
6837.53,4.58
6839.82,2.29
6844.40,4.58
6850.36,5.96
6856.32,5.96
6865.02,8.71
6870.06,5.04
6894.80,24.74
6898.47,3.67
6905.80,7.33
6925.04,19.24
6928.25,3.21
6931.92,3.67
6936.04,4.12
6939.71,3.67
6942.46,2.75
6946.12,3.67
6953.45,7.33
6957.12,3.67
6963.53,6.41
6972.70,9.16
6979.57,6.87
6983.69,4.12
6990.11,6.41
6994.69,4.58
6999.27,4.58
7005.69,6.41
7009.35,3.67
7014.85,5.50
7018.52,3.67
7021.72,3.21
7025.39,3.67
7029.97,4.58
7032.72,2.75
7036.84,4.12
7040.97,4.12
7045.55,4.58
7050.13,4.58
7056.09,5.96
7058.84,2.75
7062.50,3.67
7066.63,4.12
7069.83,3.21
7073.04,3.21
7076.71,3.67
7079.91,3.21
7083.12,3.21
7089.08,5.96
7091.83,2.75
7097.33,5.50
7103.28,5.96
7104.66,1.37
7107.86,3.21
7110.61,2.75
7112.90,2.29
7115.19,2.29
7117.94,2.75
7121.61,3.67
7126.19,4.58
7129.40,3.21
7132.61,3.21
7139.48,6.87
7146.81,7.33
7159.18,12.37
7164.22,5.04
7171.55,7.33
7177.05,5.50
7183.92,6.87
7186.67,2.75
7189.42,2.75
7193.09,3.67
7197.21,4.12
7199.96,2.75
7202.71,2.75
7205.92,3.21
7209.12,3.21
7211.87,2.75
7215.08,3.21
7218.75,3.67
7223.33,4.58
7228.37,5.04
7236.16,7.79
7240.28,4.12
7243.95,3.67
7247.61,3.67
7251.74,4.12
7258.61,6.87
7262.73,4.12
7266.40,3.67
7269.61,3.21
7273.73,4.12
7276.94,3.21
7281.06,4.12
7283.35,2.29
7285.64,2.29
7287.93,2.29
7292.97,5.04
7296.18,3.21
7301.68,5.50
7305.35,3.67
7310.84,5.50
7314.51,3.67
7317.26,2.75
7318.63,1.37
7320.47,1.83
7324.13,3.67
7327.80,3.67
7332.84,5.04
7335.13,2.29
7342.00,6.87
7345.24,3.24
7348.33,3.09
7353.30,4.97
7356.46,3.16
7360.45,3.99
7368.21,7.76
7374.54,6.33
7378.53,3.99
7383.05,4.52
7387.04,3.99
7391.26,4.22
7393.37,2.11
7396.23,2.86
7400.30,4.07
7406.25,5.95
7410.69,4.44
7446.55,35.85
7450.31,3.77
7457.92,7.61
7461.84,3.92
7468.47,6.63
7472.76,4.29
7479.39,6.63
7483.00,3.62
7486.09,3.09
7490.69,4.59
7494.38,3.69
7497.39,3.01
7501.61,4.22
7506.50,4.90
7512.00,5.50
7524.58,12.58
7529.10,4.52
7534.45,5.35
7541.30,6.85
7545.30,3.99
7550.87,5.57
7555.77,4.90
7560.44,4.67
7565.63,5.20
7569.47,3.84
7573.92,4.44
7578.51,4.59
7582.50,3.99
7586.50,3.99
7598.25,11.75
7603.37,5.12
7607.44,4.07
7615.04,7.61
7620.54,5.50
7624.08,3.54
7632.59,8.51
7640.35,7.76
7644.72,4.37
7651.65,6.93
7657.07,5.42
7659.94,2.86
7671.84,11.90
7674.17,2.34
7678.84,4.67
7681.85,3.01
7685.47,3.62
7688.26,2.79
7691.35,3.09
7694.13,2.79
7697.67,3.54
7700.01,2.34
7703.17,3.16
7707.09,3.92
7710.93,3.84
7714.85,3.92
7721.62,6.78
7728.33,6.70
7746.03,17.70
7749.27,3.24
7752.43,3.16
7754.99,2.56
7758.16,3.16
7760.04,1.88
7764.56,4.52
7768.63,4.07
7772.69,4.07
7776.31,3.62
7780.38,4.07
7788.13,7.76
7791.67,3.54
7798.00,6.33
7800.86,2.86
7808.92,8.06
7815.48,6.55
7817.81,2.34
7819.69,1.88
7823.31,3.62
7826.40,3.09
7829.26,2.86
7832.73,3.46
7835.74,3.01
7838.83,3.09
7843.65,4.82
7857.05,13.41
7859.39,2.34
7862.63,3.24
7864.44,1.81
7868.35,3.92
7870.91,2.56
7873.70,2.79
7876.64,2.94
7878.90,2.26
7882.81,3.92
7885.30,2.49
7888.46,3.16
7891.55,3.09
7896.15,4.59
7901.34,5.20
7905.41,4.07
7909.25,3.84
7913.85,4.59
7918.14,4.29
7921.76,3.62
7924.92,3.16
7927.56,2.64
7933.96,6.40
7936.59,2.64
7939.53,2.94
7943.07,3.54
7945.26,2.18
7948.87,3.62
7953.01,4.14
7955.27,2.26
7958.97,3.69
7962.88,3.92
7967.93,5.05
7970.19,2.26
7973.28,3.09
7977.87,4.59
7983.82,5.95
7987.81,3.99
7991.43,3.62
7997.61,6.18
8000.39,2.79
8004.46,4.07
8009.51,5.05
8012.07,2.56
8016.44,4.37
8021.63,5.20
8024.87,3.24
8031.12,6.25
8036.62,5.50
8040.24,3.62
8044.83,4.59
8050.63,5.80
8053.04,2.41
8056.96,3.92
8060.12,3.16
8062.83,2.71
8064.72,1.88
8069.99,5.27
8072.78,2.79
